intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31N2007-07c,,00030972004,10.844871013466786,41.2854814917866,cube,,2,54308.4590856,54308.5368056,1643.71313886451,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.652766 41.412261 10.673931 41.28289 10.681964146049303 41.246046226869794 10.693038 41.139297 10.705041564956701 41.13996772384246 10.705791 41.136517 10.777629346623726 41.143996875871686 10.866718 41.148879 11.05566 41.165981 11.054151944435203 41.179147112129407 11.065498 41.180735 11.038897999308181 41.312023781715517 11.02345 41.446039 11.011775325969943 41.445343723014076 11.009129 41.458322 10.849484 41.441147 10.73129251570036 41.423835071781106 10.664122 41.417307 10.66446851753072 41.4139894886676 10.652766 41.412261 10.652766 41.412261,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030972004uw2[1]&size=ALL&output_size=1155,http://archive.stsci.edu/missions/swift_uvot/00030972/00030972004/sw00030972004uw2_sk.img,PUBLIC,,5885.0,1549686,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31N2007-07c,,00030972005,10.846026025515016,41.2864011451472,cube,,2,54309.4632639,54309.5395833,1406.380712989485,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.654333 41.416691 10.675076966142869 41.294201704508396 10.675571 41.28406 10.690014 41.142684 10.700557840013275 41.143104628351828 10.701063 41.140102 10.758258587233438 41.145389379364495 10.870739 41.14976 11.053376 41.163523 11.052086556275613 41.178622050756772 11.061884 41.179873 11.043067895543407 41.284033442705031 11.029339 41.443846 11.014199381874358 41.443191067663996 11.011454 41.458286 10.852554 41.443066 10.713538261178174 41.424606648482658 10.668888 41.420984 10.669001898999644 41.418655216541282 10.654333 41.416691 10.654333 41.416691,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030972005uw2[2]&size=ALL&output_size=1081,http://archive.stsci.edu/missions/swift_uvot/00030972/00030972005/sw00030972005uw2_sk.img,PUBLIC,,5885.0,1538403,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31OpticalNovae,,00030975001,10.678026175975504,41.2752922376053,cube,,2,54310.852419,54310.8708912,1570.4263221858,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.477857 41.384569 10.554943 41.111924 10.732272 41.139586 10.910146 41.173948 10.829269 41.448229 10.665934 41.422112 10.477857 41.384569 10.477857 41.384569,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030975001uw2[1]&size=ALL&output_size=1207,http://archive.stsci.edu/missions/swift_uvot/00030975/00030975001/sw00030975001uw2_sk.img,PUBLIC,,5885.0,1538140,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31OpticalNovae,,00030975002,10.664421163132317,41.2564096826089,cube,,2,54313.6737847,54313.6923611,1579.44982279436,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.471408 41.371369 10.500017 41.227507 10.533284 41.096473 10.709823 41.118293 10.891319 41.147364 10.826074 41.423851 10.667631 41.403883 10.471408 41.371369 10.471408 41.371369,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030975002uw2[1]&size=ALL&output_size=1175,http://archive.stsci.edu/missions/swift_uvot/00030975/00030975002/sw00030975002uw2_sk.img,PUBLIC,,5885.0,1541814,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31OpticalNovae,,00030975003,10.78126221234379,41.3018956456987,cube,,2,54316.9544676,54316.9715278,1451.31465750002,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.577713 41.41412 10.655217 41.141478 10.831143 41.169145 11.010579 41.204067 10.928911 41.478347 10.770711 41.452785 10.577713 41.41412 10.577713 41.41412,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030975003uw2[1]&size=ALL&output_size=1209,http://archive.stsci.edu/missions/swift_uvot/00030975/00030975003/sw00030975003uw2_sk.img,PUBLIC,,5885.0,1538141,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31OpticalNovae,,00030975004,10.73089733350298,41.2735342120042,cube,,2,54319.5061343,54319.7763889,1501.5697912414118,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.518312 41.371214 10.523116984813333 41.359156818682067 10.522903 41.359107 10.61479 41.088994 10.789473 41.121946 10.96621 41.162161 10.958552908880153 41.183962915947824 10.971767 41.187373 10.968291546068262 41.195898608130619 11.002525 41.202385 10.922528 41.476971 10.763198 41.451748 10.570548 41.413714 10.578059393228239 41.3870720738 10.518312 41.371214 10.518312 41.371214,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030975004uw2[2]&size=ALL&output_size=1206,http://archive.stsci.edu/missions/swift_uvot/00030975/00030975004/sw00030975004uw2_sk.img,PUBLIC,,5885.0,1549705,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31OpticalNovae,,00030975005,10.74165481668041,41.3072187954811,cube,,2,54322.5190972,54322.5909722,710.769827312635,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.520659 41.412877 10.584813605766143 41.257604057257645 10.613683 41.148707 10.628710324361112 41.15091330719325 10.630442 41.146697 10.685048597276905 41.159166171525406 10.785921 41.173869 10.970182 41.207676 10.964197167899687 41.229271960196641 10.977034 41.232687 10.937049245300786 41.327051066593171 10.893716 41.482506 10.872274117199643 41.479313107971251 10.863314 41.500316 10.705077 41.463561 10.584161353878187 41.430371676648093 10.540993 41.422193 10.541915207782075 41.418737948459814 10.520659 41.412877 10.520659 41.412877,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030975005uw2[1]&size=ALL&output_size=1269,http://archive.stsci.edu/missions/swift_uvot/00030975/00030975005/sw00030975005uw2_sk.img,PUBLIC,,5885.0,1541815,0.0
science,SWIFT,,UVOT,,B,OPTICAL,M31NovaeField,,00031028001,10.733991478753694,41.3004784117756,cube,,2,54428.2074769,54429.3503472,84.6017771879495,369500000000.0,499000000000.0,,nan,,,,POLYGON 10.439957 41.310263 10.5449 41.226815 10.602195042564475 41.185266118115123 10.694346 41.105431 10.705250420282065 41.111592775196435 10.711648 41.106544 10.848003 41.190992 10.870282818983092 41.205968964766136 10.984807 41.275842 10.980614904062831 41.279972395398019 10.987344 41.284477 10.9907 41.288652 10.980129556179659 41.298126492236847 10.984394 41.301494 10.862088 41.403489 10.817412019945857 41.437170121870174 10.758006 41.490259 10.752673616068607 41.487121778025333 10.748379 41.490574 10.747344285312165 41.489888951085589 10.734556 41.499497 10.724601503084058 41.492568606356834 10.708695 41.50418 10.439957 41.310263 10.439957 41.310263,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00031028001ubb[2]&size=ALL&output_size=1403,http://archive.stsci.edu/missions/swift_uvot/00031028/00031028001/sw00031028001ubb_sk.img,PUBLIC,,5885.0,1541849,0.0
science,SWIFT,,UVOT,,V,OPTICAL,M31NovaeField,,00031028001,10.733991478753694,41.3004784117756,cube,,2,54428.2084722,54429.3516319,84.61262344370711,493000000000.0,599600000000.0,,nan,,,,POLYGON 10.439944 41.309167 10.550458 41.221545 10.621606661087871 41.1699955147795 10.692006 41.107859 10.693043789189636 41.108458459324616 10.696179 41.105746 10.707002372428265 41.111856581230484 10.713617 41.106649 10.82010281248454 41.175581491143284 10.843628 41.188807 10.986645 41.276153 10.982490187008048 41.280234351334805 10.987086 41.283188 10.993044 41.288195 10.981201901050191 41.298900469133471 10.984255 41.301257 10.96279 41.320266 10.873478516691977 41.39054650362295 10.823523401901115 41.431104760486782 10.758039 41.48994 10.75390441275724 41.487507603006414 10.749986 41.490678 10.747689645249267 41.489157685214074 10.734416 41.499538 10.723884344666804 41.492217763105074 10.709048 41.503084 10.439944 41.309167 10.439944 41.309167,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00031028001uvv[2]&size=ALL&output_size=1403,http://archive.stsci.edu/missions/swift_uvot/00031028/00031028001/sw00031028001uvv_sk.img,PUBLIC,,5885.0,1547570,0.0
science,SWIFT,,UVOT,,U,OPTICAL,M31NovaeField,,00031028001,10.733991478753694,41.3004784117756,cube,,2,54428.2072569,54429.3500694,84.48229197028631,301400000000.0,394200000000.0,,nan,,,,POLYGON 10.440826 41.309777 10.545023 41.226885 10.600541976252499 41.186619067289094 10.653379649460446 41.140969737604273 10.691042 41.107654 10.691552385260687 41.107935613846635 10.695046 41.10491 10.706024929999801 41.111097907184025 10.712258 41.106185 10.854178 41.194252 10.867398761960043 41.203151017359161 10.984018 41.274207 10.982943074314671 41.275314639338262 10.983352 41.275558 10.980124930106772 41.278868522855717 10.987953 41.284116 10.99131 41.288292 10.980939549220697 41.297648501384025 10.984732 41.300576 10.96623 41.317069 10.842135416000861 41.414771065415252 10.82469629801041 41.428915067639316 10.757071 41.489735 10.752738957710362 41.487183154100045 10.748991 41.490214 10.747338160532859 41.489119708453245 10.734898 41.498858 10.72531216217194 41.492195289249572 10.709563 41.503692 10.440826 41.309777 10.440826 41.309777,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00031028001uuu[4]&size=ALL&output_size=1401,http://archive.stsci.edu/missions/swift_uvot/00031028/00031028001/sw00031028001uuu_sk.img,PUBLIC,,5885.0,1541850,0.0
