pl_name,hostname,pl_orbper,pl_radj,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass
Wolf 1061 c,Wolf 1061,17.8719,nan,0.01073,0.11,nan,3342.0,0.31,0.29
Wolf 1061 d,Wolf 1061,217.21,nan,0.02423,0.55,nan,3342.0,0.31,0.29
KIC 3558849 b,KIC 3558849,1322.3,0.616,nan,nan,nan,6175.0,1.01,0.98
KIC 8540376 b,KOI-7892,31.8099,0.366,nan,nan,nan,6474.0,1.26,1.04
KIC 8540376 c,KOI-7892,75.2,0.214,nan,nan,nan,6474.0,1.26,1.04
Kepler-759 b,Kepler-759,41.805985,0.203,nan,nan,nan,5860.0,1.04,1.04
KIC 10525077 b,KIC 10525077,854.083,0.491,nan,nan,nan,6091.0,1.01,1.01
K2-25 b,K2-25,3.48456408,0.306,0.07709,0.428,494.0,3207.0,0.29,0.26
HD 32963 b,HD 32963,2372.0,nan,0.7,0.07,nan,5727.0,nan,0.94
HD 33844 b,HD 33844,551.40002,nan,2.01,0.15,nan,4861.0,5.39,1.84
HD 33844 c,HD 33844,916.0,nan,1.75,0.13,nan,4861.0,5.29,1.78
K2-26 b,K2-26,14.5665,0.238,nan,nan,430.0,3785.0,0.52,0.56
WASP-76 b,WASP-76,1.80988198,1.854,0.894,0.0,2228.0,6329.0,1.76,1.46
WASP-90 b,WASP-90,3.916243,1.63,0.63,0.0,1840.0,6430.0,1.98,1.55
HD 5583 b,HD 5583,139.35,nan,5.78,0.076,nan,4830.0,9.09,1.01
BD+15 2375 b,BD+15 2375,153.22,nan,1.061,0.001,nan,4649.0,8.95,1.08
Pr0211 c,Pr0211,4850.0,nan,7.79,0.71,nan,5300.0,0.83,0.94
HD 143105 b,HD 143105,2.1974,nan,1.21,0.07,nan,6380.0,nan,1.51
HIP 109600 b,HIP 109600,232.08,nan,2.68,0.163,nan,5530.0,nan,0.87
HD 35759 b,HD 35759,82.467,nan,3.76,0.389,nan,6060.0,nan,1.15
HIP 109384 b,HIP 109384,499.48,nan,1.56,0.549,nan,5180.0,nan,0.78
HD 220842 b,HD 220842,218.47,nan,3.18,0.404,nan,5960.0,nan,1.13
HD 12484 b,HD 12484,58.83,nan,2.98,0.07,nan,5920.0,nan,1.01
HIP 65407 b,HIP 65407,28.125,nan,0.428,0.14,nan,5460.0,nan,0.93
HIP 65407 c,HIP 65407,67.3,nan,0.784,0.12,nan,5460.0,nan,0.93
HD 141399 b,HD 141399,94.44,nan,0.451,0.04,nan,5600.0,nan,1.07
HD 141399 c,HD 141399,201.99,nan,1.33,0.048,nan,5600.0,nan,1.07
HD 141399 d,HD 141399,1069.8,nan,1.18,0.074,nan,5600.0,nan,1.07
HD 141399 e,HD 141399,5000.0,nan,0.66,0.26,nan,5600.0,nan,1.07
KELT-4 A b,KELT-4 A,2.9895932,1.699,0.902,0.0,1823.0,6206.0,1.6,1.2
HIP 8541 b,HIP 8541,1852.14387,nan,7.714,0.36,nan,nan,nan,2.01
HIP 74890 b,HIP 74890,822.3,nan,2.4,0.07,nan,4850.0,5.77,1.74
KELT-14 b,KELT-14,1.7100566,1.743,1.284,0.0,1970.0,5720.0,1.52,1.24
KELT-15 b,KELT-15,3.32944,1.74,1.31,0.0,nan,6003.0,1.78,2.06
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,nan,nan,0.066,nan,nan,nan,nan,0.38
K2-29 b,K2-29,3.2588321,1.19,0.73,0.066,1171.0,5358.0,0.86,0.94
HATS-17 b,HATS-17,16.254611,0.777,1.338,0.029,814.0,5846.0,1.09,1.13
MOA-2011-BLG-028L b,MOA-2011-BLG-028L,nan,nan,0.09,nan,nan,nan,nan,0.75
