MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,PMRA,PMDEC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,SP_TYPE,FLUX_V,SCRIPT_NUMBER_ID
Kepler-317c,19 39 46.5310,+39 01 55.414,14,14,0.019,0.022,90,A,O,2020yCat.1350....0G,1.050,0.495,-2.256,0.026,0.027,90,,,0
HD 210702b,22 11 51.3309,+16 02 25.997,14,14,0.042,0.031,90,A,O,2020yCat.1350....0G,18.459,-3.263,-17.296,0.045,0.036,90,,,0
Kepler-1520b,19 23 51.8899,+51 30 16.983,14,14,0.024,0.023,90,A,O,2020yCat.1350....0G,1.703,0.312,11.156,0.036,0.030,90,,,0
HD 126525b,14 27 32.9719,-51 55 59.106,14,14,0.018,0.024,90,A,O,2020yCat.1350....0G,26.483,-305.256,40.306,0.025,0.038,90,,,0
Kepler-293b,19 05 25.9355,+42 24 23.374,14,14,0.018,0.020,90,A,O,2020yCat.1350....0G,1.018,-0.633,-0.274,0.023,0.026,90,,,0
BD-21   397b,02 13 12.1646,-21 11 47.236,14,14,0.010,0.012,90,A,O,2020yCat.1350....0G,42.123,375.454,55.718,0.014,0.015,90,,,0
Kepler-1363b,19 47 59.1726,+49 15 23.110,14,14,0.017,0.019,90,A,O,2020yCat.1350....0G,1.814,-9.942,-22.520,0.025,0.026,90,,,0
Kepler-247d,19 14 34.2067,+43 02 21.497,14,14,0.018,0.022,90,A,O,2020yCat.1350....0G,1.494,5.556,16.750,0.024,0.030,90,,,0
WASP-11b,03 09 28.5433,+30 40 24.862,14,14,0.054,0.043,90,A,O,2020yCat.1350....0G,7.700,3.334,-44.433,0.068,0.053,90,,,0
BD+38  5036b,23 36 57.8896,+39 38 21.888,14,14,0.010,0.008,90,A,O,2020yCat.1350....0G,6.442,-67.564,-31.180,0.015,0.011,90,,,0
Kepler-768b,19 36 27.7599,+38 23 36.425,14,14,0.020,0.023,90,A,O,2020yCat.1350....0G,1.283,3.500,-3.160,0.028,0.030,90,,,0
HAT-P-44b,14 12 34.5714,+47 00 53.044,14,14,0.010,0.012,90,A,O,2020yCat.1350....0G,2.870,-29.621,11.127,0.012,0.015,90,,,0
Kepler-814b,18 59 38.5240,+48 25 53.825,14,14,0.016,0.017,90,A,O,2020yCat.1350....0G,0.510,1.349,-6.640,0.020,0.021,90,,,0
Kepler-1799b,19 13 14.0899,+51 28 41.969,14,14,0.023,0.027,90,A,O,2020yCat.1350....0G,0.440,-1.260,2.306,0.032,0.036,90,,,0
K2-413b,23 33 40.2236,-07 36 42.954,14,14,0.025,0.021,90,A,O,2020yCat.1350....0G,3.373,-7.266,-22.147,0.031,0.027,90,,,0
Kepler-506b,18 58 32.4434,+40 43 11.424,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,4.332,1.319,-2.434,0.012,0.013,90,,,0
Kepler-84b,19 53 00.4851,+40 29 45.947,14,14,0.551,0.680,90,A,O,2018yCat.1345....0G,0.693,-0.150,-2.872,1.266,1.233,90,,,0
Kepler-1161b,19 56 18.5073,+45 26 26.280,14,14,0.024,0.027,90,A,O,2020yCat.1350....0G,1.776,-8.422,-17.457,0.034,0.034,90,,,0
TOI-561e,09 52 44.5491,+06 12 58.920,14,14,0.019,0.021,90,A,O,2020yCat.1350....0G,11.834,-108.504,-61.279,0.022,0.019,90,,,0
K2-149b,00 39 17.2529,+07 16 37.537,14,14,0.017,0.009,90,A,O,2020yCat.1350....0G,8.070,-31.166,-23.175,0.021,0.017,90,,,0
Kepler-255b,19 44 15.4216,+45 58 36.604,14,14,0.020,0.022,90,A,O,2020yCat.1350....0G,0.949,2.123,-16.245,0.026,0.026,90,,,0
Kepler-1978b,19 04 01.6133,+38 00 34.272,14,14,0.017,0.020,90,A,O,2020yCat.1350....0G,1.149,1.624,4.791,0.022,0.025,90,,,0
TOI-1470c,00 40 21.2900,+61 12 49.056,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,19.328,48.576,-55.734,0.013,0.013,90,,,0
HAT-P-46c,18 01 46.6085,-02 58 15.458,14,14,0.014,0.013,90,A,O,2020yCat.1350....0G,3.325,-4.437,-4.515,0.019,0.016,90,,,0
Kepler-1497b,19 44 47.0759,+45 38 03.580,14,14,0.104,0.115,90,A,O,2020yCat.1350....0G,0.310,0.813,-3.648,0.129,0.139,90,,,0
Kepler-249d,19 47 56.4240,+43 39 30.701,14,14,0.019,0.020,90,A,O,2020yCat.1350....0G,5.232,33.568,17.642,0.027,0.024,90,,,0
Kepler-1071b,19 32 13.9188,+45 14 55.638,14,14,0.025,0.027,90,A,O,2020yCat.1350....0G,1.001,-2.578,-9.606,0.037,0.037,90,,,0
NAME G 261-1b,19 09 09.7936,+74 10 20.222,14,14,0.016,0.014,90,A,O,2020yCat.1350....0G,24.164,81.959,462.708,0.020,0.017,90,,,0
Kepler-869b,19 17 41.9010,+50 59 38.791,14,14,0.019,0.019,90,A,O,2020yCat.1350....0G,1.010,1.119,2.560,0.024,0.026,90,,,0
Kepler-910b,19 44 11.3667,+42 44 34.765,14,14,0.010,0.012,90,A,O,2020yCat.1350....0G,2.491,-11.525,-11.369,0.014,0.016,90,,,0
NAME G 234-45b,08 41 20.1286,+59 29 50.444,14,14,0.021,0.022,90,A,O,2020yCat.1350....0G,105.293,-260.276,-1279.562,0.023,0.026,90,,,0
Kepler-1646b,19 10 06.3359,+42 54 46.406,14,14,0.020,0.022,90,A,O,2020yCat.1350....0G,7.807,14.689,10.432,0.026,0.030,90,,,0
* tau Cet e,01 44 04.0831,-15 56 14.927,14,14,0.119,0.083,90,A,O,2020yCat.1350....0G,273.810,-1721.728,854.963,0.181,0.088,90,,,0
TOI-969b,07 40 32.8397,+02 05 56.124,14,14,0.020,0.016,90,A,O,2020yCat.1350....0G,12.849,-34.040,-77.949,0.025,0.018,90,,,0
Kepler-1859b,19 35 57.2885,+46 43 04.974,14,14,0.017,0.019,90,A,O,2020yCat.1350....0G,0.750,-4.351,-11.348,0.023,0.023,90,,,0
Kepler-291b,19 11 39.9172,+42 26 14.273,14,14,0.026,0.026,90,A,O,2020yCat.1350....0G,0.541,-3.268,-7.359,0.038,0.038,90,,,0
HD  38677d,05 47 06.2666,-10 37 48.827,14,14,0.017,0.016,90,A,O,2020yCat.1350....0G,15.975,2.852,-21.331,0.022,0.020,90,,,0
HATS-32b,23 04 18.0222,-21 16 18.949,14,14,0.016,0.015,90,A,O,2020yCat.1350....0G,1.287,-1.433,-20.079,0.020,0.017,90,,,0
Kepler-1487c,19 41 59.5458,+38 38 40.227,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,0.969,-6.179,-13.426,0.013,0.014,90,,,0
HD 358155Ab,21 01 54.4800,-13 25 59.710,10,10,37.000,45.000,90,B,O,2012yCat.1322....0Z,,38.600,-24.800,2.200,2.600,90,,,0
Kepler-1570b,19 59 26.8426,+45 49 38.535,14,14,0.010,0.012,90,A,O,2020yCat.1350....0G,1.061,-9.734,12.110,0.014,0.015,90,,,0
Kepler-396b,19 44 31.8711,+48 58 38.563,14,14,0.012,0.017,90,A,O,2020yCat.1350....0G,4.407,2.602,-16.081,0.014,0.017,90,,,0
TOI-3688b,02 37 07.7271,+54 51 04.551,14,14,0.006,0.009,90,A,O,2020yCat.1350....0G,2.512,18.777,-11.398,0.009,0.013,90,,,0
K2-186b,09 01 20.3949,+18 49 31.563,14,14,0.013,0.010,90,A,O,2020yCat.1350....0G,2.917,15.324,-33.992,0.015,0.013,90,,,0
Kepler-263b,19 29 52.7449,+37 34 04.051,14,14,0.017,0.022,90,A,O,2020yCat.1350....0G,1.342,5.818,0.440,0.025,0.031,90,,,0
MOA  2012-BLG-527b,18 08 04.62,-29 43 53.7,6,6,230.000,230.000,90,C,O,2019ApJS..244...29M,,,,,,0,,,0
Kepler-453b,18 52 57.9087,+46 22 42.553,14,14,0.010,0.010,90,A,O,2020yCat.1350....0G,2.252,7.309,-4.159,0.013,0.012,90,,,0
HD  23472c,03 41 50.3987,-62 46 01.477,14,14,0.012,0.013,90,A,O,2020yCat.1350....0G,25.582,-102.393,-44.066,0.017,0.017,90,,,0
Kepler-279b,19 09 33.9051,+42 11 41.357,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,0.927,4.046,0.126,0.013,0.014,90,,,0
Kepler-272b,19 56 30.6090,+47 35 37.816,14,14,0.014,0.015,90,A,O,2020yCat.1350....0G,1.092,-1.902,-1.371,0.020,0.022,90,,,0
Kepler-1473b,19 22 32.7842,+48 59 46.249,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,1.501,-13.186,-7.217,0.012,0.011,90,,,0
HD  38529c,05 46 34.9131,+01 10 05.502,14,14,0.034,0.034,90,A,O,2020yCat.1350....0G,23.571,-77.806,-141.363,0.041,0.038,90,,,0
K2-58c,22 15 17.2365,-14 02 59.313,14,14,0.015,0.015,90,A,O,2020yCat.1350....0G,5.493,4.679,-11.111,0.019,0.016,90,,,0
TOI-1244.01,17 05 07.2603,+69 31 09.766,14,14,0.011,0.011,90,A,O,2020yCat.1350....0G,9.737,-56.272,-66.578,0.013,0.016,90,,,0
HD 175607b,19 01 05.4891,-66 11 33.640,14,14,0.008,0.014,90,A,O,2020yCat.1350....0G,24.741,133.009,-385.548,0.011,0.015,90,,,0
NAME V1828 Aql b,20 20 00.4587,+04 37 56.517,14,14,0.026,0.016,90,A,O,2020yCat.1350....0G,1.329,8.026,1.257,0.037,0.029,90,,,0
Kepler-454d,19 09 54.8465,+38 13 43.922,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,4.280,21.918,48.253,0.012,0.014,90,,,0
