source_id,ra,dec,parallax,pmra,pmdec
5937081662906230400,251.57400634599628,-51.59817509723348,-0.2703733213921675,-4.35013936038839,-4.7170080553731175
5937081662906232320,251.57542772457342,-51.596868587269825,0.33677151795306987,-4.406022286537482,-4.322471943856488
5937081662906234368,251.583499880168,-51.5931139126053,-0.7652583228145682,-6.647436537968882,-13.634377372723035
5937081662906234496,251.58295725257184,-51.59267851733417,0.37023486490841334,-1.1440390960593547,-2.774776701431189
5937081662906234880,251.5712468494443,-51.5984364843916,0.7710247081480704,-5.08062305509988,-5.685856978533851
5937081662906236800,251.58301099840887,-51.592005519690794,0.8835995701078788,-1.9892430324278365,-5.036921009337185
5937081662906237952,251.57526600784237,-51.59531557174361,,,
5937146431050986624,251.5233830242689,-50.66201606906738,,,
5937144575623165952,251.50049785542294,-50.75031646083481,3.2993552261625223,-2.5286087402038597,-3.955573327666623
5937144575623168768,251.4968792840245,-50.74920319283815,2.636897524889992,-27.163419895761997,15.531366743630082
5937144575623172608,251.49759053671357,-50.74691967166771,-0.9204861254708128,-3.644790159518367,-4.628931750951525
5937144575623173504,251.5084498714432,-50.74408023678368,,,
5937144575623173632,251.50857148930925,-50.74387311961704,,,
5937144575623173760,251.50873784016244,-50.74439457514421,-0.7975196620126193,-6.95204257284918,-7.49171533123193
5937144575623178496,251.50073429874516,-50.73953705940901,1.4358057812566924,-3.4358993473905937,-8.389676744762784
5937144575623181568,251.49848054977124,-50.73772825818992,0.5951212175101961,-2.6089095557948037,-1.5547863062584775
5937144575623467520,251.50678978618464,-50.75050471196452,,,
5937144575623467648,251.5064900013007,-50.75035781006524,0.20481526672552822,-3.658708359626595,-4.336797211161322
5937144575623468928,251.51126498941284,-50.74721891864769,,,
5937144575623469056,251.51157361671812,-50.746715431323366,1.9914474458197933,-3.3871237531505396,-3.6270646836015192
5937144575623470208,251.49865045616522,-50.74638511910632,,,
5937144575623470336,251.49840711095854,-50.74665658699262,0.3957684331017778,-6.643997802046837,-5.506425319447667
5937144575623991040,251.49824658725552,-50.735820721447396,,,
5937144575624002048,251.50486335610583,-50.740752925457876,,,
5937144575624010112,251.51443517593788,-50.74499799434438,-0.08577365273586886,-6.340355636176373,-6.084870869532793
5937144575624011392,251.51215497086554,-50.74693077375379,,,
5937173575285670656,250.19397671916946,-51.56454717130099,,,
5937173605271444864,250.1610815122658,-51.564924350029806,0.5029445467781694,-0.3867429017053065,-0.9634064648552791
5937173605272568192,250.1779864788433,-51.57732010791359,-0.1462233778469291,-5.607122386646367,-6.128420952514078
5937173605272575104,250.1802466174395,-51.57239542088882,0.23766142120417663,0.1912947587980951,-2.360480154254861
5937173605272577408,250.1788947604191,-51.570455242278065,0.31892816628494436,-1.4804292489720545,-5.351454203574662
5937173605272579840,250.16405437854175,-51.56980976906796,0.11389065693211829,-4.440735470469814,-4.167370141338917
5937173605272580608,250.18144973998344,-51.56895024516843,0.1549853761725346,-5.486262498329733,-4.523144351472358
5937173605272586752,250.16453914818266,-51.56675995141547,0.12339920552567146,-2.5613208520232194,-4.730599860152341
5937173605273875584,250.17235663197695,-51.57506041182381,0.3032312343349787,-1.2592373327258601,-4.068376089770793
5937173605273875712,250.17716185475422,-51.578897575723076,0.5346795322035712,-2.3329154160746826,-6.261153160355168
5937173605273888512,250.1715846589417,-51.56760756520905,0.4079839540186024,-4.95110910885316,-4.052745334459972
5937173605273898752,250.16638026212874,-51.56135787456289,2.350538293131882,-12.048729081917209,-33.950856519091076
5937173605287008896,250.1718039265343,-51.57114801220906,0.6582170383652145,-3.424033290593133,-2.0132102266081757
5937173605294774528,250.17084252255583,-51.564705081601915,0.819452705803222,-2.4778026041490917,-2.8115526975549385
5937081662906239744,251.58029351952615,-51.59283436823384,-0.1520778691967949,-2.6298680252967994,-4.083970446705619
5937081662906239872,251.58361255175103,-51.591082477275876,,,
5937081662906241920,251.57841992523635,-51.593129327190326,0.30312921810847177,-1.9638105293171446,-3.5481708835794192
5937081662906244992,251.57374772921554,-51.594854508539896,0.36805880183250644,-6.983048013722918,-3.7269237073549784
5937081662906247936,251.57480889929084,-51.59436657586654,0.3107374072008332,-3.8986157654666393,-6.630327042734759
5937081662906248064,251.5744746273978,-51.59405822195057,0.6571245634485484,-5.167316599992338,-5.946801829071637
